#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
4  15  0.897143  0.00273731
4  16  2.03086  0.00219321
4  17  7.74422  0.00178875
4  18  63.6305  0.00148767
4  19  8.58883  0.00126444
4  20  2.7001  0.00110106
4  21  1.43245  0.000984938
4  22  0.986556  0.000907467
4  23  0.806913  0.000863067
4  24  0.757011  0.000848604
4  25  0.806913  0.000863067
4  26  0.986556  0.000907467
4  27  1.43245  0.000984938
4  28  2.7001  0.00110106
4  29  8.58883  0.00126444
4  30  63.6305  0.00148767
4  31  7.74422  0.00178875
4  32  2.03086  0.00219321
4  33  0.897143  0.00273731
4  34  0.504763  0.00347277
4  35  0.326952  0.00447384
4  36  0.232484  0.00584769
4  37  0.176751  0.00774981
4  38  0.141359  0.0104058
4  39  0.11765  0.0141411
4  40  0.101134  0.0194164
4  41  0.0893034  0.0268579
4  42  0.0806786  0.0372475
4  43  0.0743452  0.0513917
4  44  0.0697215  0.069725
4  45  0.0664302  0.0915111
4  46  0.0642272  0.113822
4  47  0.0629607  0.131276
4  48  0.0625473  0.137979

5  0  0.0470515  0.152655
5  1  0.0473052  0.144779
5  2  0.0480795  0.124449
5  3  0.0494161  0.0988635
5  4  0.0513895  0.0743491
5  5  0.0541162  0.0541185
5  6  0.0577694  0.0387914
5  7  0.0626037  0.0277106
5  8  0.0689948  0.0198799
5  9  0.0775057  0.0143901
5  10  0.0890008  0.010538
5  11  0.104849  0.00781908
5  12  0.127301  0.00588342
5  13  0.16024  0.00449197
5  14  0.210744  0.00348194
5  15  0.292649  0.00274212
5  16  0.435487  0.00219609
5  17  0.709868  0.00179094
5  18  1.31275  0.00148976
5  19  2.92869  0.00126668
5  20  8.85413  0.00110354
5  21  39.7102  0.000987647
5  22  50.6798  0.000910356
5  23  23.6369  0.000866068
5  24  18.3613  0.000851642
5  25  23.6369  0.000866068
5  26  50.6798  0.000910356
5  27  39.7102  0.000987647
5  28  8.85413  0.00110354
5  29  2.92869  0.00126668
5  30  1.31275  0.00148976
5  31  0.709868  0.00179094
5  32  0.435487  0.00219609
5  33  0.292649  0.00274212
5  34  0.210744  0.00348194
5  35  0.16024  0.00449197
5  36  0.127301  0.00588342
5  37  0.104849  0.00781908
5  38  0.0890008  0.010538
5  39  0.0775057  0.0143901
5  40  0.0689948  0.0198799
5  41  0.0626037  0.0277106
5  42  0.0577694  0.0387914
5  43  0.0541162  0.0541185
5  44  0.0513895  0.0743491
5  45  0.0494161  0.0988635
5  46  0.0480795  0.124449
5  47  0.0473052  0.144779
5  48  0.0470515  0.152655

6  0  0.0347339  0.174124
6  1  0.0348828  0.164418
6  2  0.0353357  0.139669
6  3  0.0361121  0.10917
6  4  0.0372462  0.0806829
6  5  0.03879  0.057772
6  6  0.0408184  0.0408199
6  7  0.0434364  0.0288125
6  8  0.0467904  0.0204708
6  9  0.0510848  0.014704
6  10  0.0566079  0.0107032
6  11  0.0637703  0.00790502
6  12  0.0731652  0.00592748
6  13  0.085662  0.00451425
6  14  0.102552  0.00349317
6  15  0.125777  0.002748
6  16  0.158261  0.0021996
6  17  0.204379  0.0017936
6  18  0.270446  0.0014923
6  19  0.364773  0.00126941
6  20  0.495921  0.00110655
6  21  0.666262  0.000990936
6  22  0.858434  0.000913861
6  23  1.02218  0.000869708
6  24  1.08835  0.000855328
6  25  1.02218  0.000869708
6  26  0.858434  0.000913861
6  27  0.666262  0.000990936
6  28  0.495921  0.00110655
6  29  0.364773  0.00126941
6  30  0.270446  0.0014923
6  31  0.204379  0.0017936
6  32  0.158261  0.0021996
6  33  0.125777  0.002748
6  34  0.102552  0.00349317
6  35  0.085662  0.00451425
6  36  0.0731652  0.00592748
6  37  0.0637703  0.00790502
6  38  0.0566079  0.0107032
6  39  0.0510848  0.014704
6  40  0.0467904  0.0204708
6  41  0.0434364  0.0288125
6  42  0.0408184  0.0408199
6  43  0.03879  0.057772
6  44  0.0372462  0.0806829
6  45  0.0361121  0.10917
6  46  0.0353357  0.139669
6  47  0.0348828  0.164418
6  48  0.0347339  0.174124

7  0  0.0254424  0.206063
7  1  0.0255272  0.193406
7  2  0.0257845  0.161663
7  3  0.0262228  0.123643
7  4  0.0268571  0.0893085
7  5  0.0277097  0.0626067
7  6  0.0288116  0.0434381
7  7  0.0302043  0.0302053
7  8  0.0319432  0.021205
7  9  0.0341006  0.0150887
7  10  0.0367711  0.0109035
7  11  0.0400775  0.00800831
7  12  0.0441786  0.00598009
7  13  0.0492771  0.0045407
7  14  0.0556275  0.00350644
7  15  0.063538  0.00275493
7  16  0.0733588  0.00220374
7  17  0.0854403  0.00179673
7  18  0.100036  0.00149528
7  19  0.117116  0.00127261
7  20  0.136092  0.00111008
7  21  0.155502  0.000994784
7  22  0.172885  0.000917961
7  23  0.185154  0.000873965
7  24  0.189607  0.000859639
7  25  0.185154  0.000873965
7  26  0.172885  0.000917961
7  27  0.155502  0.000994784
7  28  0.136092  0.00111008
7  29  0.117116  0.00127261
7  30  0.100036  0.00149528
7  31  0.0854403  0.00179673
7  32  0.0733588  0.00220374
7  33  0.063538  0.00275493
7  34  0.0556275  0.00350644
7  35  0.0492771  0.0045407
7  36  0.0441786  0.00598009
7  37  0.0400775  0.00800831
7  38  0.0367711  0.0109035
7  39  0.0341006  0.0150887
7  40  0.0319432  0.021205
7  41  0.0302043  0.0302053
7  42  0.0288116  0.0434381
7  43  0.0277097  0.0626067
7  44  0.0268571  0.0893085
7  45  0.0262228  0.123643
7  46  0.0257845  0.161663
7  47  0.0255272  0.193406
7  48  0.0254424  0.206063

8  0  0.0186343  0.255403
8  1  0.0186816  0.237701
8  2  0.0188248  0.194309
8  3  0.0190674  0.14431
8  4  0.0194159  0.10114
8  5  0.0198794  0.0689982
8  6  0.0204702  0.0467922
8  7  0.0212045  0.0319443
8  8  0.0221023  0.0221029
8  9  0.0231889  0.0155515
8  10  0.0244947  0.0111413
8  11  0.026056  0.0081297
8  12  0.0279149  0.00604142
8  13  0.0301182  0.00457135
8  14  0.032715  0.00352175
8  15  0.0357506  0.0027629
8  16  0.0392566  0.00220849
8  17  0.0432341  0.00180031
8  18  0.0476303  0.00149869
8  19  0.05231  0.00127626
8  20  0.0570295  0.0011141
8  21  0.0614291  0.000999169
8  22  0.0650624  0.000922631
8  23  0.0674756  0.000878813
8  24  0.0683233  0.000864546
8  25  0.0674756  0.000878813
8  26  0.0650624  0.000922631
8  27  0.0614291  0.000999169
8  28  0.0570295  0.0011141
8  29  0.05231  0.00127626
8  30  0.0476303  0.00149869
8  31  0.0432341  0.00180031
8  32  0.0392566  0.00220849
8  33  0.0357506  0.0027629
8  34  0.032715  0.00352175
8  35  0.0301182  0.00457135
8  36  0.0279149  0.00604142
8  37  0.026056  0.0081297
8  38  0.0244947  0.0111413
8  39  0.0231889  0.0155515
8  40  0.0221023  0.0221029
8  41  0.0212045  0.0319443
8  42  0.0204702  0.0467922
8  43  0.0198794  0.0689982
8  44  0.0194159  0.10114
8  45  0.0190674  0.14431
8  46  0.0188248  0.194309
8  47  0.0186816  0.237701
8  48  0.0186343  0.255403

9  0  0.0137153  0.336419
9  1  0.0137413  0.309309
9  2  0.0138196  0.244982
9  3  0.013952  0.174741
9  4  0.0141408  0.117658
9  5  0.0143898  0.0775098
9  6  0.0147036  0.051087
9  7  0.0150884  0.0341018
9  8  0.0155512  0.0231896
9  9  0.0161004  0.0161008
9  10  0.0167456  0.0114193
9  11  0.0174968  0.0082699
9  12  0.0183646  0.0061116
9  13  0.0193585  0.00460617
9  14  0.0204853  0.00353906
9  15  0.0217473  0.00277188
9  16  0.0231378  0.00221381
9  17  0.0246376  0.00180433
9  18  0.0262096  0.0015025
9  19  0.0277953  0.00128033
9  20  0.029313  0.00111859
9  21  0.0306616  0.00100406
9  22  0.0317314  0.000927833
9  23  0.0324217  0.000884212
9  24  0.0326605  0.000870012
9  25  0.0324217  0.000884212
9  26  0.0317314  0.000927833
9  27  0.0306616  0.00100406
9  28  0.029313  0.00111859
9  29  0.0277953  0.00128033
9  30  0.0262096  0.0015025
9  31  0.0246376  0.00180433
9  32  0.0231378  0.00221381
9  33  0.0217473  0.00277188
9  34  0.0204853  0.00353906
9  35  0.0193585  0.00460617
9  36  0.0183646  0.0061116
9  37  0.0174968  0.0082699
9  38  0.0167456  0.0114193
9  39  0.0161004  0.0161008
9  40  0.0155512  0.0231896
9  41  0.0150884  0.0341018
9  42  0.0147036  0.051087
9  43  0.0143898  0.0775098
9  44  0.0141408  0.117658
9  45  0.013952  0.174741
9  46  0.0138196  0.244982
9  47  0.0137413  0.309309
9  48  0.0137153  0.336419

10  0  0.0101772  0.482451
10  1  0.0101912  0.435421
10  2  0.0102335  0.329089
10  3  0.0103046  0.221654
10  4  0.0104056  0.14137
10  5  0.0105378  0.0890058
10  6  0.010703  0.0566105
10  7  0.0109033  0.0367724
10  8  0.0111411  0.0244954
10  9  0.011419  0.016746
10  10  0.0117398  0.01174
10  11  0.0121059  0.00842951
10  12  0.0125193  0.00619066
10  13  0.012981  0.00464508
10  14  0.0134902  0.00355829
10  15  0.0140434  0.00278181
10  16  0.0146339  0.00221969
10  17  0.0152496  0.00180875
10  18  0.0158734  0.00150668
10  19  0.0164817  0.0012848
10  20  0.0170456  0.0011235
10  21  0.0175326  0.0010094
10  22  0.0179102  0.000933522
10  23  0.0181498  0.000890114
10  24  0.0182319  0.000875987
10  25  0.0181498  0.000890114
10  26  0.0179102  0.000933522
10  27  0.0175326  0.0010094
10  28  0.0170456  0.0011235
10  29  0.0164817  0.0012848
10  30  0.0158734  0.00150668
10  31  0.0152496  0.00180875
10  32  0.0146339  0.00221969
10  33  0.0140434  0.00278181
