# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.692447844267351   -3793.30865506224   -1744.91471108656    2.2220044882211   4724   4619.01075686559
1   0.130625106149091   -3698.63633815758   -271.319633449631    3.18018883674124   4724   4682.00426414591
2   0.0784314627216924   -3656.92432376952   -366.683411848134    3.40224293632212   4724   4707.53805239447
3   0.023515819527287   -3353.56946524798   -713.57427168602    3.6308215117471   4724   4726.32160006514
4   0.00863621181213008   -3154.71850133681   -916.900186737727    3.6780117488083   4724   4724.83743329282
5   0.000611558526397284   -3048.7583352948   -1023.46981342701    3.70503274442677   4724   4724.10515187488
6   4.3829101619003e-05   -3048.53462784409   -1023.69351836824    3.70498666297226   4724   4724.04489542848
7   0.000156761293328843   -3048.27493555977   -1023.9531538261    3.7050560895293   4724   4724.01788540232
8   0.000143810190863681   -3048.28678612893   -1023.941174097    3.70506580997428   4724   4724.00851839188
9   0.000123506488300728   -3048.26991676827   -1023.95848071377    3.70509840693947   4724   4724.00460250548
10   8.62366758288935e-05   -3048.26691348156   -1023.96140260696    3.70513089706818   4724   4724.00280797962
11   5.3108868597753e-05   -3048.26887869929   -1023.95971480286    3.70515778764126   4724   4724.00180874372
12   3.05464507232892e-05   -3048.27371172279   -1023.95436216211    3.70517586718771   4724   4724.00110368106
13   1.71011376359026e-05   -3048.27947723909   -1023.94919811533    3.70518658281607   4724   4724.00073786081
14   9.39552078844459e-06   -3048.28276129573   -1023.94581435582    3.7051927600346   4724   4724.00038265527
15   4.29231323548522e-06   -3048.29394462968   -1023.9345544596    3.70519413610537   4724   4724.00039346073
16   1.76467941826673e-06   -3048.29030069604   -1023.93792916082    3.70519704896771   4724   4724.00011294041
17   8.55919817920442e-07   -3048.28939676312   -1023.93923629211    3.70519874751412   4724   4724.00007916332
