# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   1.29092305298692   -20061.3913531342   12441.1033634984    6.41687469294287   8754   9138.22930661839
1   0.754378353026654   -12870.0343333526   11459.038088528    4.44112694208902   8754   8907.69170865277
2   0.412145663806025   -10901.362368577   10493.6753973539    4.43434894900177   8754   8846.86152880942
3   0.350951192336182   -9284.2642128905   8004.44388575673    3.74543160778593   8754   8811.51303443642
4   0.18248951832915   -5718.39092872702   2901.9682010929    2.71445710058734   8754   8774.9397058147
5   0.102873851072392   -3819.68611798771   616.408538886601    2.35484376815796   8754   8760.76403747472
6   0.0476253379763493   -2839.48328611309   -460.851404019161    2.20987785725925   8754   8756.7098191293
7   0.0137790088677705   -2215.77757545674   -1114.02568029246    2.12385977556401   8754   8754.95505873169
8   0.00595047627207338   -1944.03719591761   -1388.01798277181    2.09020248168511   8754   8754.20570802338
9   0.00491477645586058   -1927.75076051464   -1404.22389609167    2.08799975950319   8754   8754.15374639789
10   0.00369890394788553   -1942.5504270477   -1389.41687258399    2.0883912873716   8754   8754.02357902329
11   0.0028534810687129   -1945.86153088424   -1386.12294185821    2.08959266909345   8754   8753.93619546572
12   0.00234854382509301   -1937.96544410917   -1394.04550154183    2.08854462725695   8754   8753.91216838378
13   0.00204431638996082   -1940.36766616961   -1391.65486366868    2.08860966117345   8754   8753.92511595873
14   0.00256779104800911   -1936.98793369854   -1395.05202708248    2.08830646037874   8754   8753.93691418853
15   0.00192854663207661   -1929.48385412446   -1402.57927481252    2.08737410703331   8754   8753.94315202861
16   0.00393790939728613   -1884.04062771233   -1447.97564427462    2.08129160594276   8754   8753.76717397473
17   0.00273363925923093   -1905.12257339763   -1426.98450801184    2.08406987081418   8754   8753.86523925049
18   0.00227252857094041   -1932.21281018352   -1399.95554602182    2.08683867584941   8754   8753.93470830337
19   0.000675692270150846   -1940.57335013857   -1391.60487186187    2.08749668526158   8754   8753.95524406878
20   0.000391744222675699   -1944.44323804124   -1387.73553537008    2.08803747527658   8754   8753.98679547789
21   0.000287061241719808   -1944.34597597716   -1387.83298798885    2.08802549043282   8754   8753.99598447439
22   0.000187224218270204   -1944.35047940921   -1387.82848650967    2.08802718620066   8754   8754.00062095908
23   0.000172292966836177   -1944.18718395838   -1387.99158276464    2.08800386644635   8754   8753.99997425486
24   0.000133257676460594   -1944.20908592748   -1387.96981634921    2.08800684563546   8754   8754.000817337
25   0.000111460977844999   -1944.20685777291   -1387.97205816109    2.08800646002332   8754   8754.00078759939
26   6.30821952483296e-05   -1944.2172632417   -1387.9614386636    2.08800791255397   8754   8754.00067405324
27   7.83835017727341e-05   -1944.208443521   -1387.97036860329    2.08800662202588   8754   8754.00052264231
28   6.79464258718476e-05   -1944.20228131851   -1387.97658015127    2.08800566240384   8754   8754.00068694185
29   6.8945015579428e-05   -1944.2568969606   -1387.92197729347    2.08801336490622   8754   8754.00068145645
30   9.89052501168594e-05   -1944.24281357533   -1387.93593560795    2.08801143162436   8754   8754.00052605596
31   7.56241655432575e-05   -1944.17859989087   -1388.00002541881    2.08800256108744   8754   8754.00020363489
32   7.44947843983713e-05   -1944.38889467361   -1387.78977507599    2.0880323647796   8754   8754.00060908175
33   2.78051052705979e-05   -1944.29833767377   -1387.88044572609    2.08801941111995   8754   8754.00027618557
34   3.05577831507349e-05   -1944.25330561965   -1387.92554813685    2.08801296309318   8754   8754.00011095763
