# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.695168461804737   -3289.62146449411   4782.97185050709    64.5341899234573   120   121.683722620136
1   0.105848867124237   -2819.73197089864   5574.2167504016    62.6184050598997   120   120.673489021641
2   0.0470320141703142   -2793.18169123332   5527.07782907126    62.8468003784916   120   120.316884826451
3   0.0401273722354748   -2738.55579295577   5412.23659085036    62.4565173079146   120   120.034271290646
4   0.0342765945700954   -2673.10315407062   5271.30721195018    62.1866031464233   120   120.000450824622
5   0.0293645403033973   -2591.38178937641   5106.08996288157    61.8611700889681   120   120.038150476117
6   0.0252820572818459   -2520.10992452151   4971.40205434148    61.5657038963648   120   120.02881505029
7   0.0203615861269931   -2448.15004026496   4839.60237289526    61.2700839336368   120   120.012857210733
8   0.0146235727577965   -2376.07100303429   4711.15368088562    60.9770967881069   120   120.000783840173
9   0.00846878756682007   -2308.03348737141   4593.3000156847    60.7037029563968   120   119.993366670971
10   0.00271193619049353   -2248.21176824841   4492.68278043475    60.4655713116648   120   119.987668636973
11   0.00180980339654142   -2218.37051297712   4443.72585799281    60.3463530395977   120   119.982261161278
12   0.000753875549613467   -2234.52885948667   4470.08598382619    60.4109837190145   120   119.985429766821
13   0.000521520122585109   -2238.60807045041   4476.69147349608    60.4277473259007   120   119.987376260895
14   0.000375469949360884   -2240.96954859077   4480.41250899805    60.4379923495032   120   119.990291862763
15   0.000521764988665552   -2248.78196443932   4493.19070578058    60.46947046079   120   119.992123215925
16   0.000175283527173786   -2246.47276643254   4489.27227026388    60.4610893572907   120   119.99409403881
17   8.60725788096891e-05   -2245.76300971749   4487.9124860061    60.4596007049805   120   119.997628407241
18   7.69086199532964e-05   -2247.03385212453   4489.9064842057    60.4651890114861   120   119.999396997039
19   4.66588077800787e-05   -2247.0187111472   4489.85666954325    60.465189119692   120   119.999764740873
20   4.82664576659615e-05   -2247.34574712262   4490.38382810594    60.4664929428773   120   119.999927254495
21   1.72177272733049e-05   -2246.8944840504   4489.65004967645    60.4648166880226   120   119.99988726379
22   1.23918296145158e-05   -2246.99934756167   4489.813965155    60.4651891976204   120   119.99996665769
23   9.7987661800753e-06   -2247.03535741053   4489.87727334227    60.4653754670663   120   119.999952910881
24   7.66597520765881e-06   -2247.06425417639   4489.92758756494    60.4655617584279   120   119.999979097544
25   6.12156126661168e-06   -2247.10535493373   4489.99281841438    60.4657480355512   120   120.000031445962
26   5.11558666474751e-06   -2247.12183772506   4490.01390292767    60.4657480133006   120   120.000054729976
27   4.16287164805071e-06   -2247.13119776263   4490.02981585658    60.4657479882107   120   120.000017403638
28   3.3901142453273e-06   -2247.13887843492   4490.04279298454    60.4657479678792   120   119.999987810636
29   2.76077284375227e-06   -2247.14513258253   4490.05336105135    60.4657479513213   120   119.999963699273
30   2.248265779487e-06   -2247.15022585389   4490.06196750454    60.4657479378374   120   119.999944063635
31   1.83090183981655e-06   -2247.15437372636   4490.06897646255    60.4657479268568   120   119.999928072733
32   2.11562831934865e-06   -2247.15775168826   4490.08689452578    60.4659342518907   120   119.99991505001
33   1.0567360881018e-06   -2247.16782811451   4490.09247192556    60.4659342614096   120   120.000023104203
34   8.56402187149609e-07   -2247.16915992989   4490.09488611041    60.4659342573665   120   120.000015869293
35   6.97471367638027e-07   -2247.17034283708   4490.09688261827    60.4659342542426   120   120.000011339017
36   5.67989120686529e-07   -2247.17130477558   4490.09850811391    60.4659342516961   120   120.000007630151
37   4.62545379157431e-07   -2247.17208818629   4490.09983190398    60.4659342496224   120   120.000004609978
38   3.7667667661782e-07   -2247.1727261862   4490.10090998294    60.4659342479336   120   120.000002150381
39   3.0674900786804e-07   -2247.17324576585   4490.10178795811    60.4659342465583   120   120.000000147316
40   2.4980299940462e-07   -2247.17366890558   4490.10250297126    60.4659342454382   120   119.999998516043
41   2.03428672105294e-07   -2247.17401350587   4490.10308527013    60.4659342445261   120   119.999997187553
42   1.65663452245249e-07   -2247.17429414457   4490.10355948805    60.4659342437833   120   119.999996105645
43   1.34909109964865e-07   -2247.17452269371   4490.10394568607    60.4659342431783   120   119.999995224551
44   1.0986411631854e-07   -2247.1747088217   4490.10426020168    60.4659342426857   120   119.999994506998
45   8.94685639690551e-08   -2247.17486040238   4490.1045163399    60.4659342422845   120   119.99999392263
