# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.673359538813188   -6579.24292898822   10367.5447690763    126.762483141158   120   121.683722620136
1   0.0961841265829859   -6025.04341961003   12476.2889488776    125.34530946196   120   120.673429411244
2   0.0506896256396746   -6259.50517600294   12878.9247598644    126.237924104801   120   120.306503412108
3   0.0321086797486939   -6652.44663666484   13540.6209058045    127.030962391898   120   119.953625308929
4   0.0194355381786658   -6976.03987050383   14083.7766594028    127.963727167662   120   119.918822846672
5   0.0128149367825854   -7195.55747097547   14453.7299374013    128.649599394941   120   119.983717203123
6   0.00849348842413378   -7355.24512297906   14729.388326287    129.14101675361   120   120.020183667724
7   0.006157650604806   -7456.88080563082   14908.529367672    129.444143655519   120   120.034030006982
8   0.00509156056700962   -7505.23155303554   14995.2272254454    129.580107615089   120   120.03241511593
9   0.00443283688349993   -7529.50646071847   15039.0671540901    129.644086828242   120   120.027499647211
10   0.00393233140991152   -7539.55576971987   15057.2112349147    129.667254558893   120   120.022241676174
11   0.00349037678023853   -7540.5253826867   15058.771935803    129.664887174556   120   120.017504813207
12   0.00306775773543997   -7535.26328091417   15048.9071214046    129.645147742044   120   120.013309213616
13   0.00264926013694842   -7525.50274681825   15030.7717675162    129.612851331839   120   120.009606934076
14   0.00220768994401104   -7509.52343956332   15001.9101215935    129.558566072662   120   120.001180631095
15   0.00176258687779476   -7492.72331515705   14970.8502321727    129.506808520811   120   119.998197978297
16   0.00130232046677051   -7472.34188776498   14933.2680104088    129.444588255577   120   119.995106341543
17   0.000851994905978016   -7449.0246597675   14890.198721677    129.374838172856   120   119.993085457052
18   0.000413632148596658   -7425.37842709191   14846.3240573686    129.305720528484   120   119.992976070215
19   0.000172937746085088   -7414.45700248951   14825.6304179004    129.276401862966   120   119.996014900165
20   9.04867931904978e-05   -7408.90215330481   14815.0733367477    129.261953229924   120   119.99793247559
21   7.72973065304248e-05   -7407.59628951426   14812.4865696966    129.259232135315   120   119.999128906319
22   7.05144156375579e-05   -7407.30609918199   14811.872372283    129.258813888318   120   119.999644944262
23   6.48031829757268e-05   -7407.18101182808   14811.6299382872    129.258814280459   120   119.999845339034
