# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.695014439094692   -1644.81073224706   2387.2006608199    32.2620550329438   120   121.683722620136
1   0.105684029873915   -1411.21511474039   2784.51553070421    31.3139339291202   120   120.673536060496
2   0.0466981074151006   -1398.92901983987   2762.81192312439    31.4310257703311   120   120.316809596764
3   0.0396484140712252   -1372.65876739993   2707.26385526669    31.2388869752437   120   120.029110690446
4   0.0338058534671294   -1341.15989224225   2639.0492011235    31.1102079793847   120   119.997986410353
5   0.0289968075361889   -1301.52161896648   2558.74844663013    30.9533999676125   120   120.036882194268
6   0.0249772891635231   -1266.32958071884   2492.20186789135    30.8083933652432   120   120.02893752393
7   0.0201365929884381   -1230.75710175775   2427.05839489535    30.663028214257   120   120.013206593734
8   0.0144750118246376   -1195.03014217287   2363.38323436328    30.5184204468674   120   120.001208762276
9   0.008388417487083   -1161.23752749018   2304.84180498363    30.3832370612284   120   119.993611484689
10   0.00268808083052549   -1131.48157768567   2254.77141447952    30.2652146900348   120   119.987840221391
11   0.00180070938339166   -1116.74727839368   2230.59962560885    30.2066329183678   120   119.982204372897
12   0.000752928703760037   -1124.85936961649   2243.83909739375    30.2389486718062   120   119.985442918901
13   0.00052591308950383   -1126.82826297919   2247.02393919622    30.2469579926385   120   119.987366893556
14   0.000380690750067028   -1128.00896710318   2248.89042230885    30.2520805506186   120   119.990182617811
15   0.000522777726208661   -1131.93677457556   2255.31885536235    30.2678195741642   120   119.991975434105
16   0.000177483578796612   -1130.78257101229   2253.35756531473    30.2636291093888   120   119.993947879807
17   8.98745195025303e-05   -1130.43420429056   2252.68440282255    30.2628847863038   120   119.997515328048
18   8.12352846031575e-05   -1131.10697805932   2253.74759805187    30.2658652304195   120   119.999261809253
19   4.85184902218459e-05   -1131.09131250898   2253.70944945953    30.2658653063354   120   119.999678647694
20   5.15425960017742e-05   -1131.27330346242   2254.00295325859    30.2666103665118   120   119.999897524181
21   1.80397848660966e-05   -1131.03002845445   2253.60353674047    30.2656791003206   120   119.999893939255
22   1.24753183545229e-05   -1131.08537744934   2253.69683019833    30.2659585161643   120   119.999946418327
23   9.98410693762277e-06   -1131.10571713925   2253.7278462727    30.2660516600934   120   120.000033130708
24   8.424716228818e-06   -1131.12104567463   2253.74790472754    30.2660516379016   120   120.000064934522
25   6.52724080506294e-06   -1131.14017067675   2253.78333786834    30.2661447646414   120   119.999995627621
26   5.44186841807775e-06   -1131.14824488532   2253.794153089    30.2661447521635   120   120.000006003083
27   4.4361734015264e-06   -1131.15313148223   2253.80245307868    30.2661447390733   120   119.999967441931
28   3.5562838371002e-06   -1131.15714441508   2253.81537416474    30.2662378963206   120   119.999936722665
29   2.78607099570151e-06   -1131.16410173134   2253.82137049284    30.26623789606   120   120.000030588236
30   2.26737262570697e-06   -1131.16631334047   2253.82519721691    30.2662378899143   120   120.00001134121
31   1.8495343058755e-06   -1131.16817180729   2253.82833562527    30.266237884994   120   119.999997142644
32   1.50863185694918e-06   -1131.16968702998   2253.83089557436    30.2662378809787   120   119.999985536391
33   1.23056563302934e-06   -1131.17092311273   2253.83298390404    30.2662378777033   120   119.999976068768
34   1.00375216858493e-06   -1131.17193146994   2253.83468749919    30.2662378750314   120   119.999968345381
35   8.18744483579688e-07   -1131.17275405691   2253.83607724106    30.2662378728517   120   119.999962044883
36   6.67836915430717e-07   -1131.17342509877   2253.83721095163    30.2662378710736   120   119.999956905127
37   5.44744149901445e-07   -1131.17397251506   2253.83813579995    30.2662378696231   120   119.999952712268
38   4.4433940295278e-07   -1131.17441908148   2253.83889026485    30.2662378684398   120   119.999949291855
39   3.62440866558107e-07   -1131.17478337766   2253.83950573604    30.2662378674746   120   119.999946501581
40   2.95637527254862e-07   -1131.17508056024   2253.84000782026    30.2662378666871   120   119.999944225355
41   2.41147086339837e-07   -1131.17532299349   2253.84041740666    30.2662378660447   120   119.999942368473
42   1.96700074352779e-07   -1131.17552076383   2253.84075153596    30.2662378655207   120   119.99994085368
43   1.60445325256105e-07   -1131.17568209943   2253.84102410951    30.2662378650932   120   119.999939617955
44   1.30872875219281e-07   -1131.1758137126   2253.84124646757    30.2662378647445   120   119.999938609884
45   1.06751074070331e-07   -1131.17592107904   2253.84142786123    30.26623786446   120   119.999937787527
46   8.70752803858284e-08   -1131.17600866566   2253.84157583727    30.2662378642279   120   119.99993711667
