# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.693353495366992   -8224.05366123528   12038.8990236382    161.139548268286   120   121.683722620136
1   0.104208584134474   -7084.87928600912   14067.9032634078    156.608401867063   120   120.673538510246
2   0.0455892973593464   -7045.08967987533   13997.5105113307    157.226797604632   120   120.316223447718
3   0.0377151836927046   -6937.46053885015   13758.8286336132    156.321231860111   120   120.002004939813
4   0.0317962013054584   -6806.47181101714   13463.3174671574    155.806670536863   120   119.985996200238
5   0.0272571893600122   -6633.16434941799   13106.0565238778    155.135856028526   120   120.031693035444
6   0.0233658025408545   -6466.48974899581   12788.47258599    154.463328031282   120   120.029456993807
7   0.0187505908520575   -6297.72556705725   12478.2272133976    153.783838120774   120   120.01478287076
8   0.0133681707932419   -6127.57071859404   12173.86803359    153.104867031969   120   120.002486905615
9   0.00760184820070055   -5966.59835630023   11893.7538383698    152.470131513652   120   119.994452974887
10   0.00231334693002498   -5825.42953683586   11654.9406791047    151.918214154631   120   119.98816486486
11   0.00162884674986864   -5768.40789945623   11560.801104536    151.694052040855   120   119.982848282363
12   0.000740708160786909   -5805.54181267856   11621.9311892731    151.839225024275   120   119.98559738804
13   0.000539968079405161   -5813.66505995441   11635.1618673092    151.872113163588   120   119.987356537474
14   0.000400669877555393   -5819.50030173896   11644.4783633309    151.897485715926   120   119.990162318181
15   0.000499508625149954   -5838.7189430251   11676.1938479656    151.972660035906   120   119.991657551511
16   0.000186020129101074   -5833.56470041096   11667.3455197493    151.954336289137   120   119.993504217479
17   0.000107616002824519   -5832.14069880156   11664.4712927487    151.952460573428   120   119.997240437207
18   0.00010140947003324   -5836.48805556283   11671.4369864505    151.971255299764   120   119.999210940883
19   5.61045080637013e-05   -5836.12081406962   11670.7653147148    151.970316072309   120   119.999673959558
20   3.5401174273901e-05   -5835.25331729481   11669.2821335573    151.967027507811   120   119.99989915869
21   2.70300317969132e-05   -5835.72750454473   11670.0574396511    151.968906831267   120   119.99997927434
22   2.20643893339548e-05   -5835.88821584509   11670.3099746839    151.969376589113   120   120.000001163203
23   1.78125469999216e-05   -5836.02982370087   11670.54700332    151.969846345775   120   119.999966971665
24   1.43115841171808e-05   -5836.14841342342   11670.7498620644    151.970316148202   120   119.999942320931
25   1.14089604514607e-05   -5836.33128879838   11671.0691420993    151.9712558793   120   119.999944542509
26   9.17394205719423e-06   -5836.40617942249   11671.193975962    151.971725808763   120   120.00000350401
27   7.70045593510239e-06   -5836.46610564597   11671.2666588868    151.971725740436   120   120.000059784597
28   6.31751586638231e-06   -5836.49773337459   11671.3211129582    151.971725654695   120   120.000009331025
29   5.18879784142793e-06   -5836.52408301004   11671.3659480486    151.971725584924   120   119.999969946121
30   4.17873380886198e-06   -5836.54571637544   11671.4344881678    151.972195549567   120   119.999937555319
31   3.34909913948127e-06   -5836.58251543915   11671.4670784242    151.972195544846   120   120.00003209735
32   2.74407544961181e-06   -5836.59471095074   11671.4884740257    151.972195510581   120   120.000010660339
33   2.25388901039863e-06   -5836.60511027889   11671.5061607989    151.972195483088   120   119.999995158199
34   1.85115398717846e-06   -5836.61364335188   11671.5206849522    151.972195460497   120   119.999982381262
35   1.52038484298308e-06   -5836.62065194663   11671.5326140642    151.972195441945   120   119.999971888217
36   1.24871900276799e-06   -5836.62640828333   11671.5424117635    151.972195426708   120   119.999963269997
37   1.02559546816438e-06   -5836.63113611838   11671.5504588868    151.972195414195   120   119.999956191628
38   8.42340371198056e-07   -5836.63501922154   11671.5570682195    151.972195403918   120   119.99995037797
39   6.91829795079023e-07   -5836.63820852575   11671.562496658    151.972195395478   120   119.999945603049
40   5.68212795112095e-07   -5836.64082799495   11671.5669551964    151.972195388546   120   119.999941681269
41   4.66683923009008e-07   -5836.6429794433   11671.5706171289    151.972195382853   120   119.999938460195
42   3.83296398438522e-07   -5836.64474649303   11671.5736247861    151.972195378177   120   119.99993581463
43   3.14808676503316e-07   -5836.64619782515   11671.576095068    151.972195374337   120   119.999933641748
44   2.58558425553772e-07   -5836.64738984913   11671.5781239875    151.972195371183   120   119.999931857092
45   2.12359030310936e-07   -5836.6483688956   11671.5797904026    151.972195368592   120   119.999930391299
46   1.74414586955884e-07   -5836.64917301718   11671.5811590819    151.972195366464   120   119.999929187398
47   1.43250089000985e-07   -5836.64983346759   11671.5822832214    151.972195364717   120   119.999928198596
48   1.17654086618248e-07   -5836.65037591642   11671.583206513    151.972195363282   120   119.999927386462
49   9.66315951452845e-08   -5836.65082144688   11671.5839648417    151.972195362103   120   119.99992671943
