# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.806998816528905   -8224.05366123528   23682.3659349929    -127.479739438997   120   121.683722620136
1   0.356675880259144   -11475.1645598113   24798.41772424    -127.67656645947   120   120.673479008679
2   0.0340984202889586   -12489.3923669754   24989.4854269092    -128.507469544583   120   119.963681213109
3   0.000575009498083841   -12497.8855446143   24997.6241489447    -128.458489837815   120   119.989860373981
4   4.03002856567142e-05   -12499.1639243999   24998.8826700547    -128.449131198537   120   119.995986772902
5   1.6540786078562e-05   -12499.6646353451   24999.390504226    -128.444470398003   120   119.998390239573
6   5.5565220659428e-06   -12499.8692344661   24999.5702634359    -128.444470376125   120   119.999372323961
7   3.42482648311388e-06   -12499.936157822   24999.6630149285    -128.442140014295   120   119.999693557192
8   1.15529249767172e-06   -12499.978433214   24999.7001574694    -128.442140009677   120   119.999896479391
9   4.00795532435472e-07   -12499.9922562264   24999.712302149    -128.442140008154   120   119.999962829882
10   1.454890588492e-07   -12499.9967787483   24999.7162755634    -128.442140007662   120   119.999984537992
11   5.61590697254459e-08   -12499.9982583788   24999.7175755425    -128.442140007502   120   119.999991640218
