# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   0.658880318070903   -1644.81073224706   2764.13062049856    31.0758037637524   120   121.683722620136
1   0.112440057725139   -1589.87824774059   3389.98992099184    31.0958799142689   120   120.673510894229
2   0.0811375433854584   -1708.71482149867   3584.05760272604    31.3791965182813   120   120.294654807459
3   0.0553815969596804   -1897.74568460727   3900.22451467672    31.77428707337   120   119.950331979576
4   0.0372748367116143   -2060.22402217819   4179.74514295513    32.1684364269358   120   119.901072675308
5   0.029827289969956   -2142.5584375834   4322.8109955689    32.3890504749382   120   119.98528731449
6   0.0244182343626513   -2204.10111688468   4432.66971974533    32.5458419847008   120   120.014319590184
7   0.0202167952364165   -2254.77590664839   4524.81935019662    32.6703500661169   120   120.024541829879
8   0.016897349263466   -2296.68485636972   4602.09801927223    32.7710686144461   120   120.026366455497
9   0.0142191126239651   -2331.91203659252   4667.72211358373    32.854513025734   120   120.025295949222
10   0.0120217266812963   -2361.79553387088   4723.85358385343    32.9246968634946   120   120.023216022175
11   0.0101948036510796   -2387.27369534622   4772.0202831895    32.9841793446248   120   120.021107385448
12   0.00865879707883015   -2409.01491211335   4813.34750759406    33.0347635649554   120   120.019194582572
13   0.00735474739572378   -2427.53013759856   4848.69027472776    33.0776709071276   120   120.017629614116
14   0.00623737893061504   -2443.21014629025   4878.73343924616    33.1138901981471   120   120.016250765963
15   0.00531423286941329   -2455.3284975361   4902.43247526857    33.1391752348748   120   120.004526503234
16   0.00446216780127106   -2466.37304370973   4923.75310000119    33.1643442615771   120   120.002514295302
17   0.00370559133113242   -2475.51848323734   4941.42173481699    33.1853259831273   120   120.001485322158
18   0.00291036940725105   -2484.87207516169   4959.49686663679    33.2068100056856   120   120.000993095558
19   0.00225251663349392   -2490.93678084138   4971.1709242754    33.2211513766587   120   120.002312785196
20   0.00172466200623416   -2494.50453815381   4978.12227011878    33.2291039410495   120   120.001117019659
21   0.00137710517761819   -2496.33139548875   4981.69511979414    33.233058009089   120   120.000124896945
22   0.00118401236563098   -2497.16014238752   4983.32243528616    33.2348956100576   120   119.999655588162
23   0.00109237398949584   -2497.51650249839   4984.01388282289    33.2357193634466   120   119.999632458448
24   0.00104930217476607   -2497.68434110215   4984.33242562686    33.236108288098   120   119.999728162787
25   0.00102394555670511   -2497.78660791652   4984.53119971882    33.2363879560491   120   119.999791784826
26   0.00100407945262968   -2497.87110247851   4984.68439191398    33.2365552717302   120   119.999898369349
27   0.000985887374841374   -2497.94318160647   4984.83327178599    33.236782968598   120   119.999867977903
28   0.000968379178943775   -2498.01791588433   4984.97015486345    33.236953678734   120   119.999981392437
29   0.000951033133364767   -2498.08723341675   4985.1048191177    33.2371262567933   120   119.999998317987
30   0.000933916711601041   -2498.1549353325   4985.22977909387    33.237241207108   120   120.00001980961
31   0.000916892104293127   -2498.21744542912   4985.35914823951    33.2374151147655   120   119.999950354491
32   0.000900805873199478   -2498.27985793652   4985.48005765703    33.2375867051473   120   119.999998220185
33   0.000884727995819514   -2498.34139596163   4985.59302900453    33.2377014434197   120   120.000044243196
34   0.000868955847405913   -2498.39696312782   4985.70240525021    33.2378162287968   120   119.999997058826
35   0.000853480631123565   -2498.45156577236   4985.80845919184    33.2379310613006   120   119.999975039627
36   0.000838295755770459   -2498.50436457141   4985.91128276762    33.2380459392906   120   119.999956318619
37   0.000823395032031091   -2498.55558300061   4986.01099565894    33.2381608614899   120   119.999944601196
38   0.000808772431616494   -2498.60524821947   4986.1077074804    33.2382758265984   120   119.999938941851
39   0.000794422089805238   -2498.65342067918   4986.20152486496    33.2383908333654   120   119.99993925275
40   0.0007803382993436   -2498.70015236651   4986.29255035923    33.2385058805744   120   119.999945299244
41   0.000766515504273173   -2498.74549450799   4986.38088280328    33.2386209670443   120   119.999956882603
42   0.000752948294599878   -2498.78949625426   4986.46661743251    33.2387360916286   120   119.999973806349
43   0.000739631401035735   -2498.832205005   4986.54984602295    33.2388512532143   120   119.999995882063
44   0.000726559690024493   -2498.87366643116   4986.63065702191    33.2389664507206   120   120.000022927997
45   0.00071373786065196   -2498.91392454904   4986.70236120586    33.239023464725   120   120.000054769016
46   0.000701144626584092   -2498.94895449349   4986.77169206687    33.2390805080656   120   119.999993609845
47   0.000688774577364011   -2498.98360553386   4986.84564932354    33.2391958034593   120   119.999954696544
48   0.000676639320819619   -2499.02110853425   4986.91392066224    33.2392792492691   120   120.000014477169
49   0.000664723776992826   -2499.05462477647   4986.9788613161    33.2393522346996   120   120.000007747178
50   0.000653025116037718   -2499.08693873848   4987.0415913891    33.2394230614787   120   120.000000312234
51   0.000641539342030102   -2499.11816499823   4987.10201950591    33.2394903351821   120   119.999993934358
52   0.000630262298973398   -2499.14822578618   4987.1600471334    33.2395526704664   120   119.999985794299
53   0.00061918997396391   -2499.17707757703   4987.21557607861    33.2396086959874   120   119.999973928726
54   0.000608318440712846   -2499.20467018594   4987.26850720496    33.2396570532362   120   119.999956247235
55   0.000597639083760629   -2499.23095419427   4987.32277133693    33.239731030468   120   119.999930709373
56   0.000587153148479329   -2499.25829955431   4987.37679350023    33.2398159983555   120   119.999953374884
57   0.000576859143895631   -2499.28528581592   4987.42650047156    33.2398768593132   120   119.9999893579
