# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   1.01159329284284   -14898.3219827183   18932.8653251833    208.706750190871   120   135.797023809384
1   0.339643919327401   -6949.85004588045   7704.13131656213    90.5609020774403   120   126.318839870637
2   0.186216296598555   -1714.98773965357   1786.9479259305    33.2264061323168   120   121.437796816928
3   0.0745997606725233   -998.204644645821   1013.28347304012    26.3704216283927   120   120.813513698435
4   0.0324902958178322   0.258031616882596   -7.55957203790437    17.6626014059393   120   119.999876989626
5   0.012946593197596   -0.0163887726813963   -7.28389470666832    17.6649669561415   120   120.000028281264
6   0.000826505701806121   -0.00172627711864513   -7.29861588385326    17.6647840855466   120   120.000064841735
7   7.64674416718726e-05   -0.0190049161914575   -7.28131128273147    17.6649865446459   120   120.000006540732
8   1.21617487565724e-05   0.000597372480085034   -7.30093132901107    17.6647827591031   120   120.000027257982
9   3.59297634431939e-06   -0.00517488813388751   -7.29513519407651    17.6648846428238   120   120.00000207827
10   1.43766513617822e-06   0.00518085029996694   -7.30549784541529    17.6647827725784   120   120.000040928023
11   1.22172950974872e-06   -2.37338299298449e-05   -7.30031251734615    17.6647827688613   120   120.000046798849
12   1.08320606202292e-06   -0.00584992173290374   -7.29446265503872    17.6648846432929   120   120.000004578619
13   3.33263677616932e-07   0.00484245741057113   -7.30516070673856    17.6647827692532   120   120.000035819614
14   9.71174559518819e-07   0.00021609760624611   -7.30055146264148    17.6647827661374   120   120.000041365208
15   1.21830048008796e-06   -0.00511279054268838   -7.29519705898422    17.6648846440082   120   120.000004085123
16   4.79693768495191e-07   0.00571541494209215   -7.30603043282615    17.6647827738344   120   120.000041895582
17   1.0219324882915e-06   0.000714541185955468   -7.30104805916436    17.6647827725753   120   120.00005165388
18   4.99582700997599e-07   0.000285904733123908   -7.3006210196737    17.6647827478906   120   120.000008646345
19   2.36367121704277e-07   0.000114351718726221   -7.30045010671651    17.6647827358074   120   119.999987502148
20   1.09361847169229e-07   4.57406789309024e-05   -7.30038175204034    17.6647827300885   120   119.999977464573
21   4.97056336919826e-08   1.82962662078767e-05   -7.30035441032794    17.6647827274462   120   119.999972816742
