#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
4  27  0.487063  0.0129373
4  28  0.624907  0.0147008
4  29  0.862484  0.0172225
4  30  1.28287  0.0207277
4  31  2.05078  0.0255351
4  32  3.42774  0.0320906
4  33  5.37361  0.0410147
4  34  6.36261  0.0531689
4  35  5.30804  0.0697458
4  36  3.79844  0.0923869
4  37  2.72457  0.123326
4  38  2.05184  0.165542
4  39  1.62742  0.222857
4  40  1.34988  0.29987
4  41  1.16177  0.401454
4  42  1.03069  0.531481
4  43  0.937817  0.690404
4  44  0.871866  0.87186
4  45  0.825881  1.05962
4  46  0.795553  1.22762
4  47  0.77828  1.34534

5  0  0.621921  1.52618
5  1  0.625837  1.47723
5  2  0.637857  1.34196
5  3  0.658849  1.15014
5  4  0.690408  0.937811
5  5  0.735141  0.735137
5  6  0.797158  0.560095
5  7  0.882965  0.41893
5  8  1.00308  0.310163
5  9  1.17511  0.228744
5  10  1.42966  0.168823
5  11  1.82214  0.125111
5  12  2.45405  0.0933344
5  13  3.49308  0.0702371
5  14  5.04528  0.0534197
5  15  6.32885  0.0411443
5  16  5.53254  0.0321631
5  17  3.58139  0.0255839
5  18  2.17409  0.020769
5  19  1.39222  0.0172637
5  20  0.967552  0.0147445
5  21  0.731406  0.012984
5  22  0.600005  0.0118259
5  23  0.533121  0.011169
5  24  0.512571  0.0109561
5  25  0.533121  0.011169
5  26  0.600005  0.0118259
5  27  0.731406  0.012984
5  28  0.967552  0.0147445
5  29  1.39222  0.0172637
5  30  2.17409  0.020769
5  31  3.58139  0.0255839
5  32  5.53254  0.0321631
5  33  6.32885  0.0411443
5  34  5.04528  0.0534197
5  35  3.49308  0.0702371
5  36  2.45405  0.0933344
5  37  1.82214  0.125111
5  38  1.42966  0.168823
5  39  1.17511  0.228744
5  40  1.00308  0.310163
5  41  0.882965  0.41893
5  42  0.797158  0.560095
5  43  0.735141  0.735137
5  44  0.690408  0.937811
5  45  0.658849  1.15014
5  46  0.637857  1.34196
5  47  0.625837  1.47723

6  0  0.486833  1.72679
6  1  0.489415  1.66813
6  2  0.497318  1.50658
6  3  0.511039  1.27926
6  4  0.531484  1.03068
6  5  0.560098  0.797153
6  6  0.59911  0.599106
6  7  0.651932  0.442366
6  8  0.723876  0.323755
6  9  0.823436  0.236411
6  10  0.964695  0.173046
6  11  1.17203  0.127385
6  12  1.48954  0.0945316
6  13  1.99976  0.0708537
6  14  2.85285  0.0537328
6  15  4.24415  0.0413053
6  16  5.92305  0.0322529
6  17  6.16362  0.025644
6  18  4.47768  0.0208199
6  19  2.84916  0.0173143
6  20  1.88077  0.0147982
6  21  1.3551  0.0130414
6  22  1.07419  0.0118863
6  23  0.935618  0.0112312
6  24  0.893726  0.0110189
6  25  0.935618  0.0112312
6  26  1.07419  0.0118863
6  27  1.3551  0.0130414
6  28  1.88077  0.0147982
6  29  2.84916  0.0173143
6  30  4.47768  0.0208199
6  31  6.16362  0.025644
6  32  5.92305  0.0322529
6  33  4.24415  0.0413053
6  34  2.85285  0.0537328
6  35  1.99976  0.0708537
6  36  1.48954  0.0945316
6  37  1.17203  0.127385
6  38  0.964695  0.173046
6  39  0.823436  0.236411
6  40  0.723876  0.323755
6  41  0.651932  0.442366
6  42  0.59911  0.599106
6  43  0.560098  0.797153
6  44  0.531484  1.03068
6  45  0.511039  1.27926
6  46  0.497318  1.50658
6  47  0.489415  1.66813

7  0  0.373665  2.01991
7  1  0.37529  1.94656
7  2  0.38025  1.7453
7  3  0.388812  1.46447
7  4  0.401456  1.16176
7  5  0.418932  0.882959
7  6  0.442368  0.651928
7  7  0.473431  0.473428
7  8  0.514608  0.34142
7  9  0.56968  0.246203
7  10  0.644545  0.178359
7  11  0.748727  0.130211
7  12  0.898212  0.0960036
7  13  1.12102  0.0716055
7  14  1.46827  0.0541118
7  15  2.03487  0.0414992
7  16  2.98429  0.0323605
7  17  4.47462  0.0257159
7  18  6.05543  0.0208805
7  19  6.14881  0.0173746
7  20  4.77002  0.0148621
7  21  3.45353  0.0131095
7  22  2.6508  0.0119579
7  23  2.24817  0.011305
7  24  2.12702  0.0110935
7  25  2.24817  0.011305
7  26  2.6508  0.0119579
7  27  3.45353  0.0131095
7  28  4.77002  0.0148621
7  29  6.14881  0.0173746
7  30  6.05543  0.0208805
7  31  4.47462  0.0257159
7  32  2.98429  0.0323605
7  33  2.03487  0.0414992
7  34  1.46827  0.0541118
7  35  1.12102  0.0716055
7  36  0.898212  0.0960036
7  37  0.748727  0.130211
7  38  0.644545  0.178359
7  39  0.56968  0.246203
7  40  0.514608  0.34142
7  41  0.473431  0.473428
7  42  0.442368  0.651928
7  43  0.418932  0.882959
7  44  0.401456  1.16176
7  45  0.388812  1.46447
7  46  0.38025  1.7453
7  47  0.37529  1.94656

8  0  0.283211  2.45621
8  1  0.284195  2.36054
8  2  0.287192  2.09849
8  3  0.292337  1.73536
8  4  0.299871  1.34987
8  5  0.310164  1.00308
8  6  0.323757  0.723872
8  7  0.341421  0.514605
8  8  0.364263  0.364261
8  9  0.393876  0.258593
8  10  0.4326  0.184959
8  11  0.483936  0.133667
8  12  0.553269  0.0977814
8  13  0.649115  0.072504
8  14  0.785348  0.0545611
8  15  0.985203  0.0417275
8  16  1.28825  0.0324866
8  17  1.76087  0.0257998
8  18  2.50271  0.0209511
8  19  3.60603  0.0174445
8  20  4.96222  0.0149361
8  21  6.03717  0.0131884
8  22  6.36903  0.0120408
8  23  6.23654  0.0113904
8  24  6.13194  0.0111798
8  25  6.23654  0.0113904
8  26  6.36903  0.0120408
8  27  6.03717  0.0131884
8  28  4.96222  0.0149361
8  29  3.60603  0.0174445
8  30  2.50271  0.0209511
8  31  1.76087  0.0257998
8  32  1.28825  0.0324866
8  33  0.985203  0.0417275
8  34  0.785348  0.0545611
8  35  0.649115  0.072504
8  36  0.553269  0.0977814
8  37  0.483936  0.133667
8  38  0.4326  0.184959
8  39  0.393876  0.258593
8  40  0.364263  0.364261
8  41  0.341421  0.514605
8  42  0.323757  0.723872
8  43  0.310164  1.00308
8  44  0.299871  1.34987
8  45  0.292337  1.73536
8  46  0.287192  2.09849
8  47  0.284195  2.36054

9  0  0.213178  3.11731
9  1  0.213755  2.98864
9  2  0.215509  2.63446
9  3  0.218504  2.14313
9  4  0.222858  1.62741
9  5  0.228745  1.1751
9  6  0.236412  0.823431
9  7  0.246204  0.569677
9  8  0.258594  0.393875
9  9  0.27423  0.274229
9  10  0.294008  0.193102
9  11  0.319179  0.137852
9  12  0.351504  0.0999019
9  13  0.393499  0.0735627
9  14  0.448783  0.0550854
9  15  0.522586  0.0419918
9  16  0.622422  0.0326318
9  17  0.758778  0.0258959
9  18  0.945267  0.0210317
9  19  1.19661  0.0175243
9  20  1.52121  0.0150203
9  21  1.90531  0.013278
9  22  2.29403  0.012135
9  23  2.59236  0.0114874
9  24  2.70512  0.0112777
9  25  2.59236  0.0114874
9  26  2.29403  0.012135
9  27  1.90531  0.013278
9  28  1.52121  0.0150203
9  29  1.19661  0.0175243
9  30  0.945267  0.0210317
9  31  0.758778  0.0258959
9  32  0.622422  0.0326318
9  33  0.522586  0.0419918
9  34  0.448783  0.0550854
9  35  0.393499  0.0735627
9  36  0.351504  0.0999019
9  37  0.319179  0.137852
9  38  0.294008  0.193102
9  39  0.27423  0.274229
9  40  0.258594  0.393875
9  41  0.246204  0.569677
9  42  0.236412  0.823431
9  43  0.228745  1.1751
9  44  0.222858  1.62741
9  45  0.218504  2.14313
9  46  0.215509  2.63446
9  47  0.213755  2.98864

10  0  0.160071  4.10765
10  1  0.1604  3.93834
10  2  0.161397  3.45962
10  3  0.163093  2.7756
10  4  0.165542  2.05182
10  5  0.168823  1.42965
10  6  0.173046  0.964688
10  7  0.17836  0.644541
10  8  0.18496  0.432597
10  9  0.193102  0.294007
10  10  0.203123  0.203123
10  11  0.21546  0.142889
10  12  0.23068  0.102409
10  13  0.249518  0.0747965
10  14  0.272911  0.0556895
10  15  0.302024  0.0422938
10  16  0.338236  0.0327964
10  17  0.383026  0.0260044
10  18  0.437646  0.0211223
10  19  0.502434  0.0176137
10  20  0.575628  0.0151146
10  21  0.651895  0.0133783
10  22  0.721419  0.0122401
10  23  0.771181  0.0115957
10  24  0.789382  0.0113871
10  25  0.771181  0.0115957
10  26  0.721419  0.0122401
10  27  0.651895  0.0133783
10  28  0.575628  0.0151146
10  29  0.502434  0.0176137
10  30  0.437646  0.0211223
10  31  0.383026  0.0260044
10  32  0.338236  0.0327964
10  33  0.302024  0.0422938
10  34  0.272911  0.0556895
10  35  0.249518  0.0747965
10  36  0.23068  0.102409
10  37  0.21546  0.142889
10  38  0.203123  0.203123
10  39  0.193102  0.294007
10  40  0.18496  0.432597
10  41  0.17836  0.644541
10  42  0.173046  0.964688
10  43  0.168823  1.42965
10  44  0.165542  2.05182
10  45  0.163093  2.7756
10  46  0.161397  3.45962
10  47  0.1604  3.93834

11  0  0.120315  5.40955
11  1  0.120497  5.23085
11  2  0.121049  4.67096
11  3  0.121984  3.7632
11  4  0.123327  2.72454
11  5  0.125111  1.82212
11  6  0.127386  1.17202
11  7  0.130211  0.748722
11  8  0.133667  0.483933
11  9  0.137852  0.319177
11  10  0.142889  0.215459
11  11  0.148928  0.148927
11  12  0.156147  0.105351
11  13  0.164756  0.0762209
11  14  0.174991  0.056378
11  15  0.187097  0.0426345
11  16  0.201293  0.0329808
11  17  0.217709  0.0261252
11  18  0.236275  0.0212228
11  19  0.256567  0.0177125
11  20  0.277622  0.0152186
11  21  0.297816  0.0134886
11  22  0.314925  0.0123559
11  23  0.326512  0.0117148
11  24  0.330625  0.0115073
11  25  0.326512  0.0117148
11  26  0.314925  0.0123559
11  27  0.297816  0.0134886
11  28  0.277622  0.0152186
11  29  0.256567  0.0177125
11  30  0.236275  0.0212228
11  31  0.217709  0.0261252
11  32  0.201293  0.0329808
11  33  0.187097  0.0426345
11  34  0.174991  0.056378
11  35  0.164756  0.0762209
11  36  0.156147  0.105351
11  37  0.148928  0.148927
11  38  0.142889  0.215459
11  39  0.137852  0.319177
11  40  0.133667  0.483933
11  41  0.130211  0.748722
11  42  0.127386  1.17202
11  43  0.125111  1.82212
11  44  0.123327  2.72454
11  45  0.121984  3.7632
11  46  0.121049  4.67096
11  47  0.120497  5.23085

12  0  0.090772  6.34804
12  1  0.0908704  6.30094
12  2  0.0911676  6.00616
12  3  0.0916698  5.1576
12  4  0.0923871  3.7984
12  5  0.0933345  2.45403
12  6  0.0945318  1.48953
12  7  0.0960038  0.898206
12  8  0.0977816  0.553266
12  9  0.0999021  0.351503
12  10  0.102409  0.230679
12  11  0.105351  0.156146
12  12  0.108784  0.108784
12  13  0.112763  0.0778513
12  14  0.117342  0.0571545
12  15  0.122561  0.0430144
12  16  0.12843  0.0331846
12  17  0.134912  0.0262579
12  18  0.141885  0.0213326
12  19  0.149118  0.0178202
12  20  0.156239  0.0153316
12  21  0.162738  0.0136085
12  22  0.168014  0.0124814
12  23  0.171477  0.011844
12  24  0.172686  0.0116377
12  25  0.171477  0.011844
12  26  0.168014  0.0124814
12  27  0.162738  0.0136085
12  28  0.156239  0.0153316
12  29  0.149118  0.0178202
12  30  0.141885  0.0213326
12  31  0.134912  0.0262579
12  32  0.12843  0.0331846
12  33  0.122561  0.0430144
12  34  0.117342  0.0571545
12  35  0.112763  0.0778513
12  36  0.108784  0.108784
12  37  0.105351  0.156146
12  38  0.102409  0.230679
12  39  0.0999021  0.351503
12  40  0.0977816  0.553266
12  41  0.0960038  0.898206
12  42  0.0945318  1.48953
12  43  0.0933345  2.45403
12  44  0.0923871  3.7984
12  45  0.0916698  5.1576
12  46  0.0911676  6.00616
12  47  0.0908704  6.30094

13  0  0.0689012  5.65067
13  1  0.0689529  5.8205
13  2  0.069109  6.21392
13  3  0.0693718  6.31314
13  4  0.0697459  5.308
13  5  0.0702372  3.49304
13  6  0.0708539  1.99974
13  7  0.0716056  1.12101
13  8  0.0725041  0.649111
13  9  0.0735629  0.393498
13  10  0.0747966  0.249517
13  11  0.0762211  0.164756
13  12  0.0778515  0.112763
13  13  0.079701  0.0797009
13  14  0.0817779  0.058021
13  15  0.0840812  0.043433
13  16  0.0865954  0.0334071
13  17  0.0892834  0.0264018
13  18  0.0920784  0.0214511
13  19  0.0948782  0.0179359
13  20  0.0975426  0.0154527
13  21  0.0998997  0.0137367
13  22  0.101764  0.0126156
13  23  0.102964  0.0119819
13  24  0.103379  0.011777
13  25  0.102964  0.0119819
13  26  0.101764  0.0126156
13  27  0.0998997  0.0137367
13  28  0.0975426  0.0154527
13  29  0.0948782  0.0179359
13  30  0.0920784  0.0214511
13  31  0.0892834  0.0264018
13  32  0.0865954  0.0334071
13  33  0.0840812  0.043433
13  34  0.0817779  0.058021
13  35  0.079701  0.0797009
13  36  0.0778515  0.112763
13  37  0.0762211  0.164756
13  38  0.0747966  0.249517
13  39  0.0735629  0.393498
13  40  0.0725041  0.649111
13  41  0.0716056  1.12101
13  42  0.0708539  1.99974
13  43  0.0702372  3.49304
13  44  0.0697459  5.308
13  45  0.0693718  6.31314
