#alpha(site in real lattice)   0up   0dn  1up     1dn
0    0.0303559    0.0303496    0.455811    0.455705    
36    0.0303559    0.0303496    0.455811    0.455705    
72    0.0303559    0.0303496    0.455811    0.455705    
108    0.0303559    0.0303496    0.455811    0.455705    
12    0.0303559    0.0303496    0.455811    0.455705    
48    0.0303559    0.0303496    0.455811    0.455705    
84    0.0303559    0.0303496    0.455811    0.455705    
120    0.0303559    0.0303496    0.455811    0.455705    
24    0.0303559    0.0303496    0.455811    0.455705    
60    0.0303559    0.0303496    0.455811    0.455705    
96    0.0303559    0.0303496    0.455811    0.455705    
132    0.0303559    0.0303496    0.455811    0.455705    
3    0.0303559    0.0303496    0.455811    0.455705    
39    0.0303559    0.0303496    0.455811    0.455705    
75    0.0303559    0.0303496    0.455811    0.455705    
111    0.0303559    0.0303496    0.455811    0.455705    
15    0.0303559    0.0303496    0.455811    0.455705    
51    0.0303559    0.0303496    0.455811    0.455705    
87    0.0303559    0.0303496    0.455811    0.455705    
123    0.0303559    0.0303496    0.455811    0.455705    
27    0.0303559    0.0303496    0.455811    0.455705    
63    0.0303559    0.0303496    0.455811    0.455705    
99    0.0303559    0.0303496    0.455811    0.455705    
135    0.0303559    0.0303496    0.455811    0.455705    
6    0.0303559    0.0303496    0.455811    0.455705    
42    0.0303559    0.0303496    0.455811    0.455705    
78    0.0303559    0.0303496    0.455811    0.455705    
114    0.0303559    0.0303496    0.455811    0.455705    
18    0.0303559    0.0303496    0.455811    0.455705    
54    0.0303559    0.0303496    0.455811    0.455705    
90    0.0303559    0.0303496    0.455811    0.455705    
126    0.0303559    0.0303496    0.455811    0.455705    
30    0.0303559    0.0303496    0.455811    0.455705    
66    0.0303559    0.0303496    0.455811    0.455705    
102    0.0303559    0.0303496    0.455811    0.455705    
138    0.0303559    0.0303496    0.455811    0.455705    
9    0.0303559    0.0303496    0.455811    0.455705    
45    0.0303559    0.0303496    0.455811    0.455705    
81    0.0303559    0.0303496    0.455811    0.455705    
117    0.0303559    0.0303496    0.455811    0.455705    
21    0.0303559    0.0303496    0.455811    0.455705    
57    0.0303559    0.0303496    0.455811    0.455705    
93    0.0303559    0.0303496    0.455811    0.455705    
129    0.0303559    0.0303496    0.455811    0.455705    
33    0.0303559    0.0303496    0.455811    0.455705    
69    0.0303559    0.0303496    0.455811    0.455705    
105    0.0303559    0.0303496    0.455811    0.455705    
141    0.0303559    0.0303496    0.455811    0.455705    
1    0.0303559    0.0303496    0.455811    0.455705    
37    0.0303559    0.0303496    0.455811    0.455705    
73    0.0303559    0.0303496    0.455811    0.455705    
109    0.0303559    0.0303496    0.455811    0.455705    
13    0.0303559    0.0303496    0.455811    0.455705    
49    0.0303559    0.0303496    0.455811    0.455705    
85    0.0303559    0.0303496    0.455811    0.455705    
121    0.0303559    0.0303496    0.455811    0.455705    
25    0.0303559    0.0303496    0.455811    0.455705    
61    0.0303559    0.0303496    0.455811    0.455705    
97    0.0303559    0.0303496    0.455811    0.455705    
133    0.0303559    0.0303496    0.455811    0.455705    
4    0.0303559    0.0303496    0.455811    0.455705    
40    0.0303559    0.0303496    0.455811    0.455705    
76    0.0303559    0.0303496    0.455811    0.455705    
112    0.0303559    0.0303496    0.455811    0.455705    
16    0.0303559    0.0303496    0.455811    0.455705    
52    0.0303559    0.0303496    0.455811    0.455705    
88    0.0303559    0.0303496    0.455811    0.455705    
124    0.0303559    0.0303496    0.455811    0.455705    
28    0.0303559    0.0303496    0.455811    0.455705    
64    0.0303559    0.0303496    0.455811    0.455705    
100    0.0303559    0.0303496    0.455811    0.455705    
136    0.0303559    0.0303496    0.455811    0.455705    
7    0.0303559    0.0303496    0.455811    0.455705    
43    0.0303559    0.0303496    0.455811    0.455705    
79    0.0303559    0.0303496    0.455811    0.455705    
115    0.0303559    0.0303496    0.455811    0.455705    
19    0.0303559    0.0303496    0.455811    0.455705    
55    0.0303559    0.0303496    0.455811    0.455705    
91    0.0303559    0.0303496    0.455811    0.455705    
127    0.0303559    0.0303496    0.455811    0.455705    
31    0.0303559    0.0303496    0.455811    0.455705    
67    0.0303559    0.0303496    0.455811    0.455705    
103    0.0303559    0.0303496    0.455811    0.455705    
139    0.0303559    0.0303496    0.455811    0.455705    
10    0.0303559    0.0303496    0.455811    0.455705    
