# iter   OP_error_   E_class   E_quant    mu_   Total_Particles   OPs_.total_Den
0   2.64266738023773   9018.20815920545   16017.7513953749    267.317405142503   108   26.7308212550398
1   1.34504619175474   -651.170229865695   25086.4547206162    304.405235351381   108   67.36541062752
2   0.146441613067488   -9860.41119342348   33979.5932246875    346.926917051729   108   108
3   0.0818912646365023   -9929.24841276643   34017.7638473584    348.787398266346   108   108.608351726102
4   0.0366092849937971   -9785.54359947396   33864.0989060371    349.06583769323   108   108.176684059516
5   0.0182170372518287   -9747.28392269767   33824.0327970374    349.030124838142   108   108.064368731466
6   0.00424792859197907   -9724.99295737035   33801.1787448231    349.033037778493   108   108.011609156662
7   0.000493923776958405   -9718.81417998529   33794.9673629535    349.037259782878   108   107.999956955987
8   0.000348177336564421   -9718.66460727869   33794.8175846704    349.039066347927   108   107.999914099689
9   0.000223521279055236   -9718.60049933374   33794.7533597317    349.040011522131   108   107.999888325206
10   0.000143637745407461   -9718.5645733329   33794.7173856245    349.040667963589   108   107.999899211316
11   9.2267570444269e-05   -9718.54476586792   33794.697558299    349.041103762897   108   107.999920831944
12   5.92803139324972e-05   -9718.53350146781   33794.6862857094    349.041392872392   108   107.999941967905
13   3.80869987024712e-05   -9718.52696449817   33794.67974536    349.041583257213   108   107.999959165442
14   2.44712693062007e-05   -9718.52308248365   33794.6758619503    349.041708118916   108   107.999972012727
15   1.57236218403346e-05   -9718.52072716866   33794.6735060592    349.041789737214   108   107.999981158904
16   1.01035780612695e-05   -9718.5192696206   33794.6720482732    349.041842960215   108   107.999987476027
17   6.49285715642472e-06   -9718.51835187222   33794.6711304265    349.041877604305   108   107.999991751531
18   4.17298547543624e-06   -9718.51776546336   33794.670543977    349.041900125084   108   107.999994604454
19   2.68238222287981e-06   -9718.51738623092   33794.6701647278    349.041914750846   108   107.999996488744
20   1.72452471389291e-06   -9718.51713861334   33794.6699171033    349.041924242785   108   107.999997723922
21   1.10893250587412e-06   -9718.51697571834   33794.6697542054    349.041930400021   108   107.999998529037
22   7.13246238964648e-07   -9718.51686794388   33794.6696464298    349.041934392876   108   107.999999051582
