#alpha(site in real lattice)   up   dn
0    0.000435983    0.000435983    
4    0.000435985    0.000435985    
8    0.000435987    0.000435987    
12    0.000435978    0.000435978    
1    0.499564    0.499564    
5    0.499564    0.499564    
9    0.499564    0.499564    
13    0.499564    0.499564    
2    0.000435984    0.000435984    
6    0.000435987    0.000435987    
10    0.000435978    0.000435978    
14    0.000435983    0.000435983    
3    0.499564    0.499564    
7    0.499564    0.499564    
11    0.499564    0.499564    
15    0.499564    0.499564    
