#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
6  3  0.286556  1.24449
6  4  0.300022  0.841328
6  5  0.319335  0.544836
6  6  0.346517  0.347596
6  7  0.384841  0.222444
6  8  0.439737  0.144268
6  9  0.520565  0.0953737
6  10  0.64423  0.0645084
6  11  0.842836  0.0447883
6  12  1.18  0.0320428
6  13  1.78175  0.0237364
6  14  2.85831  0.0183145
6  15  4.49713  0.0148182
6  16  5.96032  0.0126586
6  17  6.36883  0.0114855
6  18  6.32537  0.0111137
6  19  6.36883  0.0114855
6  20  5.96032  0.0126586
6  21  4.49713  0.0148182
6  22  2.85831  0.0183145
6  23  1.78175  0.0237364
6  24  1.18  0.0320428
6  25  0.842836  0.0447883
6  26  0.64423  0.0645084
6  27  0.520565  0.0953737
6  28  0.439737  0.144268
6  29  0.384841  0.222444
6  30  0.346517  0.347596
6  31  0.319335  0.544836
6  32  0.300022  0.841328
6  33  0.286556  1.24449
6  34  0.277676  1.70169
6  35  0.272619  2.08069

7  0  0.186761  3.08045
7  1  0.18757  2.85576
7  2  0.190047  2.28126
7  3  0.194349  1.59988
7  4  0.200757  1.02673
7  5  0.209718  0.631891
7  6  0.221905  0.386122
7  7  0.238323  0.238931
7  8  0.260474  0.151152
7  9  0.290619  0.0981766
7  10  0.3322  0.0656211
7  11  0.390462  0.0452296
7  12  0.473246  0.0322381
7  13  0.591547  0.0238561
7  14  0.7581  0.0184218
7  15  0.979561  0.0149324
7  16  1.23662  0.0127822
7  17  1.46098  0.0116158
7  18  1.55281  0.0112463
7  19  1.46098  0.0116158
7  20  1.23662  0.0127822
7  21  0.979561  0.0149324
7  22  0.7581  0.0184218
7  23  0.591547  0.0238561
7  24  0.473246  0.0322381
7  25  0.390462  0.0452296
7  26  0.3322  0.0656211
7  27  0.290619  0.0981766
7  28  0.260474  0.151152
7  29  0.238323  0.238931
7  30  0.221905  0.386122
7  31  0.209718  0.631891
7  32  0.200757  1.02673
7  33  0.194349  1.59988
7  34  0.190047  2.28126
7  35  0.18757  2.85576

8  0  0.128296  4.54482
8  1  0.128675  4.22171
8  2  0.129829  3.33519
8  3  0.131813  2.23491
8  4  0.134726  1.33702
8  5  0.138717  0.766232
8  6  0.143996  0.441321
8  7  0.150857  0.261177
8  8  0.159697  0.160023
8  9  0.171045  0.101666
8  10  0.185584  0.0669713
8  11  0.204145  0.0457554
8  12  0.227633  0.0324677
8  13  0.256763  0.0239956
8  14  0.291464  0.0185461
8  15  0.329829  0.0150641
8  16  0.366947  0.0129246
8  17  0.394871  0.0117656
8  18  0.405382  0.0113987
8  19  0.394871  0.0117656
8  20  0.366947  0.0129246
8  21  0.329829  0.0150641
8  22  0.291464  0.0185461
8  23  0.256763  0.0239956
8  24  0.227633  0.0324677
8  25  0.204145  0.0457554
8  26  0.185584  0.0669713
8  27  0.171045  0.101666
8  28  0.159697  0.160023
8  29  0.150857  0.261177
8  30  0.143996  0.441321
8  31  0.138717  0.766232
8  32  0.134726  1.33702
8  33  0.131813  2.23491
8  34  0.129829  3.33519
8  35  0.128675  4.22171

9  0  0.0884934  6.21552
9  1  0.088662  6.01899
9  2  0.0891737  5.11477
9  3  0.0900472  3.4356
9  4  0.0913143  1.89761
9  5  0.0930217  0.984908
9  6  0.0952323  0.522622
9  7  0.0980275  0.291457
9  8  0.101507  0.171411
9  9  0.105788  0.105958
9  10  0.110994  0.0685821
9  11  0.117238  0.046369
9  12  0.124575  0.0327316
9  13  0.132928  0.0241544
9  14  0.141978  0.0186865
9  15  0.151043  0.0152123
9  16  0.159035  0.0130844
9  17  0.164618  0.0119336
9  18  0.166635  0.0115695
9  19  0.164618  0.0119336
9  20  0.159035  0.0130844
9  21  0.151043  0.0152123
9  22  0.141978  0.0186865
9  23  0.132928  0.0241544
9  24  0.124575  0.0327316
9  25  0.117238  0.046369
9  26  0.110994  0.0685821
9  27  0.105788  0.105958
9  28  0.101507  0.171411
9  29  0.0980275  0.291457
9  30  0.0952323  0.522622
9  31  0.0930217  0.984908
9  32  0.0913143  1.89761
9  33  0.0900472  3.4356
9  34  0.0891737  5.11477
9  35  0.088662  6.01899

10  0  0.0616468  5.47822
10  1  0.0617185  5.79901
10  2  0.0619354  6.35641
10  3  0.0623034  5.43662
10  4  0.0628324  2.99145
10  5  0.0635361  1.3675
10  6  0.0644325  0.647068
10  7  0.0655426  0.333234
10  8  0.0668898  0.186001
10  9  0.068497  0.111179
10  10  0.0703819  0.0704711
10  11  0.0725484  0.0470705
10  12  0.0749737  0.033028
10  13  0.0775911  0.0243306
10  14  0.0802707  0.0188411
10  15  0.0828082  0.0153747
10  16  0.0849351  0.0132592
10  17  0.0863644  0.012117
10  18  0.0868698  0.011756
10  19  0.0863644  0.012117
10  20  0.0849351  0.0132592
10  21  0.0828082  0.0153747
10  22  0.0802707  0.0188411
10  23  0.0775911  0.0243306
10  24  0.0749737  0.033028
10  25  0.0725484  0.0470705
10  26  0.0703819  0.0704711
10  27  0.068497  0.111179
10  28  0.0668898  0.186001
10  29  0.0655426  0.333234
10  30  0.0644325  0.647068
10  31  0.0635361  1.3675
10  32  0.0628324  2.99145
10  33  0.0623034  5.43662
10  34  0.0619354  6.35641
10  35  0.0617185  5.79901

11  0  0.0436065  3.03916
11  1  0.0436365  3.34669
11  2  0.0437268  4.43779
11  3  0.0438795  6.18764
11  4  0.0440974  5.00283
11  5  0.0443845  2.09616
11  6  0.0447457  0.847037
11  7  0.0451863  0.391781
11  8  0.0457112  0.204629
11  9  0.0463239  0.11744
11  10  0.0470243  0.0726421
11  11  0.0478064  0.0478538
11  12  0.0486543  0.0333527
11  13  0.0495385  0.0245211
11  14  0.0504123  0.019007
11  15  0.0512123  0.015548
11  16  0.0518633  0.013445
11  17  0.0522912  0.0123118
11  18  0.0524407  0.0119539
11  19  0.0522912  0.0123118
11  20  0.0518633  0.013445
11  21  0.0512123  0.015548
11  22  0.0504123  0.019007
11  23  0.0495385  0.0245211
11  24  0.0486543  0.0333527
11  25  0.0478064  0.0478538
11  26  0.0470243  0.0726421
11  27  0.0463239  0.11744
11  28  0.0457112  0.204629
11  29  0.0451863  0.391781
11  30  0.0447457  0.847037
11  31  0.0443845  2.09616
11  32  0.0440974  5.00283
11  33  0.0438795  6.18764
11  34  0.0437268  4.43779
11  35  0.0436365  3.34669

12  0  0.0315023  1.54306
12  1  0.031516  1.68947
12  2  0.0315575  2.25545
12  3  0.0316273  3.79429
12  4  0.0317264  6.32893
12  5  0.0318561  3.55231
12  6  0.0320179  1.18673
12  7  0.032213  0.474995
12  8  0.0324425  0.228203
12  9  0.0327062  0.124797
12  10  0.0330025  0.0750724
12  11  0.033327  0.0487029
12  12  0.0336714  0.0336972
12  13  0.0340226  0.0247205
12  14  0.0343621  0.019179
12  15  0.0346664  0.0157268
12  16  0.0349097  0.0136361
12  17  0.0350675  0.0125119
12  18  0.0351223  0.0121571
12  19  0.0350675  0.0125119
12  20  0.0349097  0.0136361
12  21  0.0346664  0.0157268
12  22  0.0343621  0.019179
12  23  0.0340226  0.0247205
12  24  0.0336714  0.0336972
12  25  0.033327  0.0487029
12  26  0.0330025  0.0750724
12  27  0.0327062  0.124797
12  28  0.0324425  0.228203
12  29  0.032213  0.474995
12  30  0.0320179  1.18673
12  31  0.0318561  3.55231
12  32  0.0317264  6.32893
12  33  0.0316273  3.79429
12  34  0.0315575  2.25545
12  35  0.031516  1.68947

13  0  0.0233997  0.849208
13  1  0.0234083  0.918185
13  2  0.0234344  1.18041
13  3  0.0234783  1.91154
13  4  0.0235403  4.17812
13  5  0.023621  5.78895
13  6  0.0237211  1.79335
13  7  0.0238409  0.593948
13  8  0.0239805  0.257441
13  9  0.0241393  0.133172
13  10  0.0243157  0.077695
13  11  0.0245063  0.0495882
13  12  0.0247059  0.0340485
13  13  0.0249066  0.0249209
13  14  0.0250978  0.0193504
13  15  0.025267  0.0159039
13  16  0.0254008  0.0138249
13  17  0.0254869  0.0127092
13  18  0.0255167  0.0123574
13  19  0.0254869  0.0127092
13  20  0.0254008  0.0138249
13  21  0.025267  0.0159039
13  22  0.0250978  0.0193504
13  23  0.0249066  0.0249209
13  24  0.0247059  0.0340485
13  25  0.0245063  0.0495882
13  26  0.0243157  0.077695
13  27  0.0241393  0.133172
13  28  0.0239805  0.257441
13  29  0.0238409  0.593948
13  30  0.0237211  1.79335
13  31  0.023621  5.78895
13  32  0.0235403  4.17812
13  33  0.0234783  1.91154
13  34  0.0234344  1.18041
13  35  0.0234083  0.918185

14  0  0.0180135  0.520504
14  1  0.0180214  0.557206
14  2  0.0180452  0.693141
14  3  0.0180851  1.05346
14  4  0.0181414  2.18979
14  5  0.0182145  5.94934
14  6  0.0183047  2.87843
14  7  0.0184121  0.761473
14  8  0.0185365  0.292273
14  9  0.0186771  0.142246
14  10  0.018832  0.0803797
14  11  0.0189981  0.0504631
14  12  0.0191704  0.0343881
14  13  0.0193421  0.025112
14  14  0.0195043  0.0195123
14  15  0.0196466  0.0160703
14  16  0.0197584  0.0140017
14  17  0.01983  0.0128937
14  18  0.0198547  0.0125447
14  19  0.01983  0.0128937
14  20  0.0197584  0.0140017
14  21  0.0196466  0.0160703
14  22  0.0195043  0.0195123
14  23  0.0193421  0.025112
14  24  0.0191704  0.0343881
14  25  0.0189981  0.0504631
14  26  0.018832  0.0803797
14  27  0.0186771  0.142246
14  28  0.0185365  0.292273
14  29  0.0184121  0.761473
14  30  0.0183047  2.87843
14  31  0.0182145  5.94934
14  32  0.0181414  2.18979
14  33  0.0180851  1.05346
14  34  0.0180452  0.693141
14  35  0.0180214  0.557206

15  0  0.0144998  0.355077
15  1  0.0145083  0.377555
15  2  0.0145339  0.459132
15  3  0.0145767  0.665638
15  4  0.0146371  1.27231
15  5  0.0147153  3.83971
15  6  0.0148116  4.52503
15  7  0.0149259  0.984296
15  8  0.0150578  0.330785
15  9  0.0152062  0.151334
15  10  0.0153689  0.0829219
15  11  0.0155424  0.0512641
15  12  0.0157215  0.0346925
15  13  0.0158989  0.025281
15  14  0.0160656  0.0196544
15  15  0.0162113  0.0162157
15  16  0.0163252  0.0141557
15  17  0.0163979  0.0130543
15  18  0.0164229  0.0127075
15  19  0.0163979  0.0130543
15  20  0.0163252  0.0141557
15  21  0.0162113  0.0162157
15  22  0.0160656  0.0196544
15  23  0.0158989  0.025281
15  24  0.0157215  0.0346925
15  25  0.0155424  0.0512641
15  26  0.0153689  0.0829219
15  27  0.0152062  0.151334
15  28  0.0150578  0.330785
15  29  0.0149259  0.984296
15  30  0.0148116  4.52503
15  31  0.0147153  3.83971
15  32  0.0146371  1.27231
15  33  0.0145767  0.665638
15  34  0.0145339  0.459132
15  35  0.0145083  0.377555

16  0  0.0123148  0.269396
16  1  0.0123241  0.285243
16  2  0.0123519  0.341983
16  3  0.0123986  0.481173
16  4  0.0124643  0.866761
16  5  0.0125493  2.44713
16  6  0.0126538  5.97925
16  7  0.0127776  1.24299
16  8  0.0129201  0.368047
16  9  0.0130801  0.159346
16  10  0.0132551  0.0850524
16  11  0.0134412  0.0519158
16  12  0.0136326  0.0349358
16  13  0.0138217  0.0254147
16  14  0.0139988  0.019766
16  15  0.0141532  0.0163294
16  16  0.0142736  0.0142759
16  17  0.0143503  0.0131794
16  18  0.0143767  0.0128344
16  19  0.0143503  0.0131794
16  20  0.0142736  0.0142759
16  21  0.0141532  0.0163294
16  22  0.0139988  0.019766
16  23  0.0138217  0.0254147
16  24  0.0136326  0.0349358
16  25  0.0134412  0.0519158
16  26  0.0132551  0.0850524
16  27  0.0130801  0.159346
16  28  0.0129201  0.368047
16  29  0.0127776  1.24299
16  30  0.0126538  5.97925
16  31  0.0125493  2.44713
16  32  0.0124643  0.866761
16  33  0.0123986  0.481173
16  34  0.0123519  0.341983
16  35  0.0123241  0.285243

17  0  0.0111239  0.227803
17  1  0.0111337  0.24065
17  2  0.0111631  0.286304
17  3  0.0112124  0.396331
17  4  0.0112818  0.690786
17  5  0.0113715  1.83864
17  6  0.0114816  6.3691
17  7  0.011612  1.46882
17  8  0.0117621  0.396078
17  9  0.0119302  0.164944
17  10  0.0121139  0.0864842
17  11  0.012309  0.0523441
17  12  0.0125094  0.0350936
17  13  0.012707  0.0255007
17  14  0.0128918  0.0198374
17  15  0.0130526  0.016402
17  16  0.013178  0.0143525
17  17  0.0132578  0.0132591
17  18  0.0132852  0.0129151
17  19  0.0132578  0.0132591
17  20  0.013178  0.0143525
17  21  0.0130526  0.016402
17  22  0.0128918  0.0198374
17  23  0.012707  0.0255007
17  24  0.0125094  0.0350936
17  25  0.012309  0.0523441
17  26  0.0121139  0.0864842
17  27  0.0119302  0.164944
17  28  0.0117621  0.396078
17  29  0.011612  1.46882
17  30  0.0114816  6.3691
17  31  0.0113715  1.83864
17  32  0.0112818  0.690786
17  33  0.0112124  0.396331
17  34  0.0111631  0.286304
17  35  0.0111337  0.24065

18  0  0.010746  0.215325
18  1  0.0107559  0.227303
18  2  0.0107859  0.269767
18  3  0.0108361  0.371523
18  4  0.0109067  0.640814
18  5  0.010998  1.67091
18  6  0.0111101  6.31858
18  7  0.0112428  1.56124
18  8  0.0113955  0.40663
18  9  0.0115665  0.166965
18  10  0.0117532  0.0869905
18  11  0.0119514  0.0524938
18  12  0.0121549  0.0351484
18  13  0.0123555  0.0255304
18  14  0.012543  0.0198621
18  15  0.0127061  0.0164269
18  16  0.0128332  0.0143789
18  17  0.0129141  0.0132865
18  18  0.012942  0.0129429
18  19  0.0129141  0.0132865
18  20  0.0128332  0.0143789
18  21  0.0127061  0.0164269
18  22  0.012543  0.0198621
18  23  0.0123555  0.0255304
18  24  0.0121549  0.0351484
18  25  0.0119514  0.0524938
18  26  0.0117532  0.0869905
18  27  0.0115665  0.166965
18  28  0.0113955  0.40663
18  29  0.0112428  1.56124
18  30  0.0111101  6.31858
18  31  0.010998  1.67091
18  32  0.0109067  0.640814
18  33  0.0108361  0.371523
18  34  0.0107859  0.269767
18  35  0.0107559  0.227303

19  0  0.0111239  0.227803
19  1  0.0111337  0.24065
19  2  0.0111631  0.286304
19  3  0.0112124  0.396331
19  4  0.0112818  0.690786
19  5  0.0113715  1.83864
19  6  0.0114816  6.3691
19  7  0.011612  1.46882
19  8  0.0117621  0.396078
19  9  0.0119302  0.164944
19  10  0.0121139  0.0864842
19  11  0.012309  0.0523441
19  12  0.0125094  0.0350936
19  13  0.012707  0.0255007
19  14  0.0128918  0.0198374
19  15  0.0130526  0.016402
19  16  0.013178  0.0143525
19  17  0.0132578  0.0132591
19  18  0.0132852  0.0129151
19  19  0.0132578  0.0132591
19  20  0.013178  0.0143525
19  21  0.0130526  0.016402
19  22  0.0128918  0.0198374
19  23  0.012707  0.0255007
19  24  0.0125094  0.0350936
19  25  0.012309  0.0523441
19  26  0.0121139  0.0864842
19  27  0.0119302  0.164944
19  28  0.0117621  0.396078
19  29  0.011612  1.46882
19  30  0.0114816  6.3691
19  31  0.0113715  1.83864
19  32  0.0112818  0.690786
19  33  0.0112124  0.396331
19  34  0.0111631  0.286304
19  35  0.0111337  0.24065

20  0  0.0123148  0.269396
20  1  0.0123241  0.285243
20  2  0.0123519  0.341983
20  3  0.0123986  0.481173
20  4  0.0124643  0.866761
20  5  0.0125493  2.44713
20  6  0.0126538  5.97925
20  7  0.0127776  1.24299
20  8  0.0129201  0.368047
20  9  0.0130801  0.159346
20  10  0.0132551  0.0850524
20  11  0.0134412  0.0519158
20  12  0.0136326  0.0349358
20  13  0.0138217  0.0254147
20  14  0.0139988  0.019766
20  15  0.0141532  0.0163294
20  16  0.0142736  0.0142759
20  17  0.0143503  0.0131794
20  18  0.0143767  0.0128344
20  19  0.0143503  0.0131794
20  20  0.0142736  0.0142759
20  21  0.0141532  0.0163294
20  22  0.0139988  0.019766
20  23  0.0138217  0.0254147
20  24  0.0136326  0.0349358
20  25  0.0134412  0.0519158
20  26  0.0132551  0.0850524
20  27  0.0130801  0.159346
20  28  0.0129201  0.368047
20  29  0.0127776  1.24299
