#row col OParams_[row][col]
0              0               (0.000435983,0)
16             16               (0.000435983,0)
1              1               (0.499564,0)
17             17               (0.499564,0)
2              2               (0.000435984,0)
18             18               (0.000435984,0)
3              3               (0.499564,0)
19             19               (0.499564,0)
4              4               (0.000435984,0)
20             20               (0.000435984,0)
5              5               (0.499564,0)
21             21               (0.499564,0)
6              6               (0.000435987,0)
22             22               (0.000435987,0)
7              7               (0.499564,0)
23             23               (0.499564,0)
8              8               (0.000435987,0)
24             24               (0.000435987,0)
9              9               (0.499564,0)
25             25               (0.499564,0)
10             10               (0.000435978,0)
26             26               (0.000435978,0)
11             11               (0.499564,0)
27             27               (0.499564,0)
12             12               (0.000435978,0)
28             28               (0.000435978,0)
13             13               (0.499564,0)
29             29               (0.499564,0)
14             14               (0.000435983,0)
30             30               (0.000435983,0)
15             15               (0.499564,0)
31             31               (0.499564,0)
0             16               (-1.30538e-07,3.70744e-06)
0              1               (0.00745758,-4.90256e-06)
0             17               (0.00728173,0.000399178)
0              2               (0.000226134,-1.42613e-07)
0             18               (0.000209424,1.32471e-05)
0              3               (0.00745767,1.55846e-08)
0             19               (0.00727412,0.000520179)
0              4               (0.000226134,-1.63691e-07)
0             20               (1.17671e-07,-1.8511e-06)
0              5               (0.000217553,-3.49528e-06)
0             21               (-5.25046e-05,-3.64934e-06)
0              6               (0.000226132,-1.88259e-07)
0             22               (9.9096e-09,-1.42529e-07)
0              7               (0.00745768,2.28044e-08)
0             23               (-0.00727345,-0.00052958)
0              8               (1.62818e-05,-1.69466e-07)
0             24               (5.61374e-10,-1.29763e-08)
0              9               (0.000217422,-6.48885e-06)
0             25               (5.25832e-05,1.90518e-06)
0             10               (0.000226131,-4.75788e-08)
0             26               (-0.000209554,-9.54229e-06)
0             11               (0.000217601,-2.49379e-09)
0             27               (5.25028e-05,3.66596e-06)
0             12               (0.000226131,-2.69055e-08)
0             28               (-2.48087e-07,5.55638e-06)
0             13               (0.00745758,5.02858e-06)
0             29               (-0.00729147,-0.000131966)
0             14               (0.000226133,1.97513e-08)
0             30               (-1.39883e-07,3.83679e-06)
0             15               (0.000217609,1.04937e-06)
0             31               (-5.25048e-05,-3.7489e-06)
16             17               (0.00745758,4.90256e-06)
16             18               (0.000226134,1.42613e-07)
16             19               (0.00745767,-1.55845e-08)
16             20               (0.000226134,1.63691e-07)
16             21               (0.000217553,3.49528e-06)
16             22               (0.000226132,1.88259e-07)
16             23               (0.00745768,-2.28044e-08)
16             24               (1.62818e-05,1.69466e-07)
16             25               (0.000217422,6.48885e-06)
16             26               (0.000226131,4.75788e-08)
16             27               (0.000217601,2.4938e-09)
16             28               (0.000226131,2.69054e-08)
16             29               (0.00745758,-5.02858e-06)
16             30               (0.000226133,-1.97512e-08)
16             31               (0.000217609,-1.04937e-06)
1             16               (0.00728173,0.000399178)
1             17               (0.498578,0.0274713)
1              2               (0.00745761,-3.96287e-06)
1             18               (0.00728154,0.000402817)
1              3               (-0.000226104,3.59751e-06)
1             19               (-0.000236288,-1.5007e-05)
1              4               (0.00745761,-4.00048e-06)
1             20               (0.00728154,0.000402839)
1              5               (0.0107124,-0.000167205)
1             21               (-2.22895e-07,3.16245e-06)
1              6               (0.000217554,-3.43671e-06)
1             22               (5.24879e-05,3.85429e-06)
1              7               (0.000242913,-4.15037e-06)
1             23               (-1.39236e-07,2.08841e-06)
1              8               (0.000217555,-3.39694e-06)
1             24               (5.24896e-05,3.82876e-06)
1              9               (-1.62798e-05,1.38116e-07)
1             25               (-0.000245592,-1.83102e-05)
1             10               (0.000217529,4.18847e-06)
1             26               (5.26116e-05,1.46848e-06)
1             11               (-0.000226105,3.52614e-06)
1             27               (-0.000236291,-1.49663e-05)
1             12               (0.00021753,4.23128e-06)
1             28               (5.26135e-05,1.44075e-06)
1             13               (0.0107112,0.000203269)
1             29               (1.39671e-07,-3.83478e-06)
1             14               (0.00745758,4.93692e-06)
1             30               (0.00728173,0.000399158)
1             15               (0.000242941,-2.11284e-06)
1             31               (-7.09894e-08,1.11107e-06)
17             18               (0.00745761,3.96287e-06)
17             19               (-0.000226104,-3.59751e-06)
17             20               (0.00745761,4.00048e-06)
17             21               (0.0107124,0.000167205)
17             22               (0.000217554,3.43671e-06)
17             23               (0.000242913,4.15037e-06)
17             24               (0.000217555,3.39694e-06)
17             25               (-1.62798e-05,-1.38116e-07)
17             26               (0.000217529,-4.18847e-06)
17             27               (-0.000226105,-3.52614e-06)
17             28               (0.00021753,-4.23128e-06)
17             29               (0.0107112,-0.000203269)
17             30               (0.00745758,-4.93692e-06)
17             31               (0.000242941,2.11284e-06)
2             16               (0.000209424,1.32471e-05)
2             17               (0.00728154,0.000402817)
2             18               (1.69138e-07,-2.37015e-06)
2              3               (0.00745767,-8.76554e-07)
2             19               (0.00727414,0.000519862)
2              4               (0.000226134,-1.83673e-08)
2             20               (2.22316e-07,-3.15572e-06)
2              5               (0.00745761,-4.05178e-06)
2             21               (-0.00726608,-0.000622219)
2              6               (0.000226135,-7.00634e-08)
2             22               (1.1606e-07,-1.4742e-06)
2              7               (0.000217607,-2.92069e-07)
